id,created_at,Store_No,Name,Latitude,Longitude,Address,Street,City,State,Zip_Code,County,Phone,Provider,Status,Country,mc_location_id
11931,2026-07-17T18:14:35.558Z,440-066,"Aldi, Mount Prospect",42.068656,-87.922015,"1000 Mt Prospect Plaza, Mount Prospect, IL, 60056",1000 Mt Prospect Plaza,Mount Prospect,IL,60056,,,ALDI,active,USA,1312641
10502,2026-07-17T18:14:31.811Z,440-067,"Aldi, Belvidere",42.26718,-88.850133,"1021 N State Street, Belvidere, IL, 61008",1021 N State Street,Belvidere,IL,61008,,,ALDI,active,USA,1312620
11087,2026-07-17T18:14:33.514Z,440-068,"Aldi, Evanston",42.027628,-87.704586,"2211 Oakton St, Evanston, IL, 60202",2211 Oakton St,Evanston,IL,60202,,,ALDI,active,USA,1312581
11723,2026-07-17T18:14:35.092Z,440-069,"Aldi, Loves Park",42.31692,-89.03584,"6350 Forest Hills Rd, Loves Park, IL, 61111",6350 Forest Hills Rd,Loves Park,IL,61111,,,ALDI,active,USA,1312644
12391,2026-07-17T18:14:36.487Z,440-070,"Aldi, Rockford",42.236964,-89.057056,"2680 20th Street, Rockford, IL, 61109",2680 20th Street,Rockford,IL,61109,,,ALDI,active,USA,1312619
10990,2026-07-17T18:14:33.514Z,440-071,"Aldi, Des Plaines",42.028568,-87.892879,"1365 Lee St, Des Plaines, IL, 60018",1365 Lee St,Des Plaines,IL,60018,,,ALDI,active,USA,1314024
12868,2026-07-17T18:14:37.179Z,440-072,"Aldi, Westmont",41.771598,-87.973763,"6415 S Cass Ave, Westmont, IL, 60559",6415 S Cass Ave,Westmont,IL,60559,,,ALDI,active,USA,1312613
11741,2026-07-17T18:14:35.558Z,440-073,"Aldi, Machesney Park",42.364907,-89.023974,"1545 W Lane Road, Machesney Park, IL, 61115",1545 W Lane Road,Machesney Park,IL,61115,,,ALDI,active,USA,1312608
12133,2026-07-17T18:14:35.837Z,440-074,"Aldi, Oswego",41.706043,-88.300596,"540 5th St, Oswego, IL, 60543",540 5th St,Oswego,IL,60543,,,ALDI,active,USA,1312663
12390,2026-07-17T18:14:36.487Z,440-075,"Aldi, Rockford",42.270112,-88.98567,"6650 E State St, Rockford, IL, 61108",6650 E State St,Rockford,IL,61108,,,ALDI,active,USA,1312621
10674,2026-07-17T18:14:32.256Z,440-076,"Aldi, Carol Stream",41.895176,-88.103159,"330 S Schmale Road, Carol Stream, IL, 60188",330 S Schmale Road,Carol Stream,IL,60188,,,ALDI,active,USA,1312681
12489,2026-07-17T18:14:36.487Z,440-077,"Aldi, Schaumburg",42.069319,-88.042999,"1412 E Algonquin Rd, Schaumburg, IL, 60173",1412 E Algonquin Rd,Schaumburg,IL,60173,,,ALDI,active,USA,1312592
10439,2026-07-17T18:14:31.811Z,440-078,"Aldi, Aurora",41.754016,-88.207638,"4444 Ogden Ave, Aurora, IL, 60504",4444 Ogden Ave,Aurora,IL,60504,,,ALDI,active,USA,1312673
11958,2026-07-17T18:14:35.837Z,440-079,"Aldi, Naperville",41.794623,-88.12152,"1440 Naperville/Wheaton Rd, Naperville, IL, 60563",1440 Naperville/Wheaton Rd,Naperville,IL,60563,,,ALDI,active,USA,1314438
10940,2026-07-17T18:14:33.514Z,440-080,"Aldi, Darien",41.750726,-88.001333,"2251 75th St, Darien, IL, 60561",2251 75th St,Darien,IL,60561,,,ALDI,active,USA,1312587
11005,2026-07-17T18:14:33.514Z,440-081,"Aldi, Downers Grove",41.81003,-87.986593,"28 Ogden Ave, Downers Grove, IL, 60515",28 Ogden Ave,Downers Grove,IL,60515,,,ALDI,active,USA,1312658
10771,2026-07-17T18:14:32.770Z,440-082,"Aldi, Chicago",41.939853,-87.711855,"3320 B W Belmont, Chicago, IL, 60618",3320 B W Belmont,Chicago,IL,60618,,,ALDI,active,USA,1312629
10759,2026-07-17T18:14:32.770Z,440-083,"Aldi, Chicago",41.952796,-87.744704,"3930 N Kilpatrick Ave, Chicago, IL, 60641",3930 N Kilpatrick Ave,Chicago,IL,60641,,,ALDI,active,USA,1312554
12934,2026-07-17T18:14:37.357Z,440-084,"Aldi, Woodstock",42.2962,-88.42477,"1270 Lake Ave, Woodstock, IL, 60098",1270 Lake Ave,Woodstock,IL,60098,,,ALDI,active,USA,1312655
12159,2026-07-17T18:14:36.171Z,440-085,"Aldi, Palatine",42.137187,-88.024699,"761 E Dundee Rd, Palatine, IL, 60074",761 E Dundee Rd,Palatine,IL,60074,,,ALDI,active,USA,1312647
11710,2026-07-17T18:14:35.092Z,440-086,"Aldi, Lombard",41.858852,-88.019753,"205 West Roosevelt Road, Lombard, IL, 60148",205 West Roosevelt Road,Lombard,IL,60148,,,ALDI,active,USA,1312633
10583,2026-07-17T18:14:32.256Z,440-087,"Aldi, Broadview",41.850294,-87.844551,"1001 Cermak Road, Broadview, IL, 60155",1001 Cermak Road,Broadview,IL,60155,,,ALDI,active,USA,1312661
10462,2026-07-17T18:14:31.811Z,440-089,"Aldi, Bartlett",41.98799,-88.18194,"200 E Devon, Bartlett, IL, 60103",200 E Devon,Bartlett,IL,60103,,,ALDI,active,USA,1312649
10761,2026-07-17T18:14:32.770Z,440-090,"Aldi, Chicago",41.932374,-87.766638,"2828 N Central, Chicago, IL, 60634",2828 N Central,Chicago,IL,60634,,,ALDI,active,USA,1314051
12312,2026-07-17T18:14:36.171Z,440-092,"Aldi, Prospect Heights",42.102232,-87.965965,"1432 E Rand Rd, Prospect Heights, IL, 60070",1432 E Rand Rd,Prospect Heights,IL,60070,,,ALDI,active,USA,1314035
11957,2026-07-17T18:14:35.837Z,440-095,"Aldi, Naperville",41.715563,-88.207296,"2708 Showplace Dr, Naperville, IL, 60564",2708 Showplace Dr,Naperville,IL,60564,,,ALDI,active,USA,1312572
